3 0 0 0 1 3 0 0 0 | 10 10 10 -44.5877 
4 2 4 3 1 0 0 0 0 | 10 5.88478 10 10 
2 3 1 0 2 0 0 0 1 | 10 -50.9 10 10 
1 0 3 2 1 0 2 0 0 | 7 10 10 10 
0 2 1 0 0 0 3 0 0 | 10 10 4.69665 10 
2 3 0 1 3 0 0 0 0 | 10 10 10 4.67194 
2 1 3 1 4 0 0 0 0 | 10 25.289 10 10 
0 1 0 1 0 0 4 0 0 | 10 10 10 8.95984 
0 1 0 2 0 0 1 0 0 | 10 10 12.0056 10 
0 2 1 0 0 0 0 4 0 | 18.2016 -56 10 10 
0 0 1 0 0 0 0 0 1 | 5.02532 10 10 -12.202 
0 0 0 4 1 4 0 0 0 | 10 10 5.01825 10 
0 1 3 0 1 0 2 0 0 | 10 10 10 -55.3504 
3 0 4 1 0 0 2 0 0 | 10 10 10 8.5 
0 4 1 4 1 0 0 0 0 | 8.5 10 10 10 
0 0 1 0 1 0 0 0 4 | 6.63276 -55.1511 10 10 
0 1 3 0 3 0 0 0 2 | 10 10 3.4 10 
2 1 4 4 0 0 0 3 0 | -49.1448 10 10 10 
1 3 0 1 4 0 0 0 0 | 10 10 -45.7615 10 
4 3 0 3 1 0 0 0 0 | 10 4.98826 10 10 
0 0 4 1 3 3 0 0 0 | 10 10 -49.5302 10 
3 1 1 2 1 0 0 0 0 | -51.3484 10 10 10 
0 2 1 1 4 0 0 0 0 | 10 10 10 5.62815 
0 1 1 3 0 4 0 0 0 | -56 10 10 10 
3 2 0 0 1 0 4 0 0 | 10 10 10 -50.0501 
4 2 0 1 0 0 4 0 0 | 10 10 10 23.991 
3 0 2 4 1 1 0 0 0 | 10 10 10 -50.9 
0 1 3 0 4 0 0 3 0 | -53.2038 3.4 10 10 
3 2 0 3 1 0 0 0 0 | 8.5 10 10 -53.042 
1 0 1 0 1 0 0 2 0 | 10 10 10 -50.9 
2 1 0 0 0 0 0 1 0 | -45.3739 45.7602 10 8.5 
2 1 0 3 0 0 0 2 0 | -50.6324 10 10 10 
0 1 0 1 1 0 3 0 0 | 10 8.5 10 10 
0 0 4 0 1 0 0 0 4 | 10 10 10 -50.9 
0 0 1 4 2 0 0 1 0 | 10 10 10 3.4 
0 1 4 0 0 0 0 0 3 | 10 10 3.4 10 
0 2 0 0 1 0 0 4 0 | 10 3.48451 10 10 
0 4 2 1 4 0 0 0 0 | 10.6038 10 10 10 
3 2 0 2 1 0 0 0 0 | 10 10 10 -50.9 
